BRNCH_NME,MonthNam,ProdGroup,TotalAccounts,EOPBalance,AvgMTLBalnce
THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,Oct 2017,RD,12,0,0
THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,Sep 2017,RD,22,0,0
NERUL BRANCH,Oct 2017,RD,2,0,0
CHINCHWAD  PUNE BRANCH,Sep 2017,RD,10,140000,140000
CHINCHWAD  PUNE BRANCH,Oct 2017,RD,5,90000,90000
T. NAGAR  CHENNAI,Jul 2017,RD,10,157500,157500
T. NAGAR  CHENNAI,Jun 2017,RD,7,0,0
CHEMBUR BRANCH,Apr 2017,RD,4,0,0
CHEMBUR BRANCH,May 2017,RD,4,0,0
CHEMBUR BRANCH,Mar 2017,RD,1,0,0
NEW PALASIA,Oct 2017,RD,6,60000,60000
NEW PALASIA,Sep 2017,RD,10,90000,90000
NAVRANGPURA  AHMEDABAD,May 2017,RD,3,0,0
NEW PALASIA,Aug 2017,RD,2,33000,33000
KOTHRUD PUNE BRANCH,Feb 2017,RD,2,0,0
THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,Jul 2017,RD,9,118250,118250
THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,Aug 2017,RD,10,159250,159250
THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,Jun 2017,RD,3,0,0
Varale,Oct 2017,RD,1,0,0
SADASHIV PETH   PUNE,Jun 2017,RD,1,0,0
SADASHIV PETH   PUNE,May 2017,RD,1,0,0
PULLIYAKULAM ROAD   COIMBATORE,May 2017,RD,3,0,0
PULLIYAKULAM ROAD   COIMBATORE,Apr 2017,RD,1,0,0
CHINCHWAD  PUNE BRANCH,Jul 2017,RD,3,30000,30000
CHINCHWAD  PUNE BRANCH,Aug 2017,RD,3,50000,50000
CHINCHWAD  PUNE BRANCH,Jun 2017,RD,1,0,0
CHINCHWAD  PUNE BRANCH,May 2017,RD,1,0,0
NEW PALASIA,Jul 2017,RD,1,15000,15000
CENTRAL BACK OFFICE  BELAPUR,Oct 2017,CA,2,339403,518617.65625
CENTRAL BACK OFFICE  BELAPUR,Sep 2017,CA,2,12650046,421668.1875
CENTRAL BACK OFFICE  BELAPUR,Aug 2017,CA,1,6462,807.75
