BRNCH_NME,MonthNam,ProdGroup,TotalAccounts,EOPBalance,AvgMTLBalnce
T. NAGAR  CHENNAI,Jun 2017,SA,54,1616533.1601563,1221163.2801514
NEW PALASIA,Sep 2017,SA,280,6593269.7391109,4617493.1601257
NEW PALASIA,Oct 2017,SA,159,5092823.3585868,4337180.8130598
NEW PALASIA,Aug 2017,SA,97,1830692.991272,1705141.377533
SADASHIV PETH   PUNE,Oct 2017,SA,148,1891669.6064987,1695180.6657257
SADASHIV PETH   PUNE,Sep 2017,SA,278,3265406.1938858,2710057.1048279
SADASHIV PETH   PUNE,Aug 2017,SA,132,1690847.4703064,1703728.1782913
SADASHIV PETH   PUNE,Jul 2017,SA,100,2073299.5,1722507.8861786
SADASHIV PETH   PUNE,Jun 2017,SA,79,1741088,1343555.852066
NEW PALASIA,Jun 2017,SA,67,1407870,1486262.939425
NEW PALASIA,Jul 2017,SA,82,1918221.5603638,1792704.0014954
Wadachiwadi,Sep 2017,SA,142,2297030.3397331,1912232.2334595
Wadachiwadi,Oct 2017,SA,93,993004.4082737,1037823.2991219
PULLIYAKULAM ROAD   COIMBATORE,Oct 2017,SA,143,16476454.756277,14195457.090694
PULLIYAKULAM ROAD   COIMBATORE,Jun 2017,SA,59,2818516,4230094.0955774
PULLIYAKULAM ROAD   COIMBATORE,Aug 2017,SA,99,10451035.825058,8226273.2691014
PULLIYAKULAM ROAD   COIMBATORE,Sep 2017,SA,252,21079179.11396,19943928.038506
PULLIYAKULAM ROAD   COIMBATORE,Jul 2017,SA,79,3790930.7,3900752.9935608
Wadachiwadi,Aug 2017,SA,39,363307.31002808,371602.69494629
NERUL BRANCH,Oct 2017,SA,29,1072592.8793945,855224.12658691
NEW PALASIA,May 2017,SA,35,698236,617865.43170166
NAVRANGPURA  AHMEDABAD,Apr 2017,SA,6,86145,152645
PULLIYAKULAM ROAD   COIMBATORE,May 2017,SA,29,3168243,3219711.3662256
PULLIYAKULAM ROAD   COIMBATORE,Apr 2017,SA,11,2777524,2772274
