BRNCH_NME,ProdGroup,ChannelFlag,ModeofT,TxnType,AS_ON_DATE_YrMon,TxnValue,TxnCount
CHINCHWAD  PUNE BRANCH,SA,NEFT/IMPS/RTGS,Branch,RTGS,Jul 2017,500000,1
CENTRAL BACK OFFICE  BELAPUR,CA,NEFT/IMPS/RTGS,Branch,NEFT,Oct 2017,2312051,519
Varale,CA,MB,Digital,NEFT,Sep 2017,145310,20
CHINCHWAD  PUNE BRANCH,CA,NEFT/IMPS/RTGS,Branch,NEFT,Jul 2017,304115,6
NAVRANGPURA  AHMEDABAD,CA,IB,Digital,NEFT,Sep 2017,21000,2
CHINCHWAD  PUNE BRANCH,CA,NEFT/IMPS/RTGS,Branch,NEFT,Sep 2017,2103094,21
CHINCHWAD  PUNE BRANCH,CA,MB,Digital,NEFT,Oct 2017,1766630,53
NAVRANGPURA  AHMEDABAD,CA,MB,Digital,NEFT,Sep 2017,610000,6
CHINCHWAD  PUNE BRANCH,CA,MB,Digital,NEFT,Jul 2017,490000,4
SADASHIV PETH   PUNE,CA,MB,Digital,NEFT,Jul 2017,87000,4
PULLIYAKULAM ROAD   COIMBATORE,CA,MB,Digital,NEFT,Oct 2017,3654,1
CHINCHWAD  PUNE BRANCH,CA,MB,Digital,NEFT,Sep 2017,2577541,68
CBD BELAPUR,CA,NEFT/IMPS/RTGS,Branch,NEFT,Oct 2017,352658,19
T. NAGAR  CHENNAI,CA,NEFT/IMPS/RTGS,Branch,NEFT,Sep 2017,100000,1
SADASHIV PETH   PUNE,CA,MB,Digital,NEFT,Sep 2017,398300,20
MHALUNGE BUS STOP  PUNE,CA,MB,Digital,NEFT,Oct 2017,115220,14
NAVRANGPURA  AHMEDABAD,CA,NEFT/IMPS/RTGS,Branch,NEFT,Jun 2017,100000,1
CBD BELAPUR,CA,NEFT/IMPS/RTGS,Branch,NEFT,Jun 2017,114592,7
SADASHIV PETH   PUNE,CA,MB,Digital,NEFT,Jun 2017,219000,6
CHINCHWAD  PUNE BRANCH,CA,NEFT/IMPS/RTGS,Branch,NEFT,Oct 2017,5639848,43
CHEMBUR BRANCH,CA,NEFT/IMPS/RTGS,Branch,NEFT,Jun 2017,40000,1
CBD BELAPUR,CA,MB,Digital,NEFT,Sep 2017,3010,2
KOTHRUD PUNE BRANCH,CA,MB,Digital,NEFT,Jun 2017,8000,1
CHINCHWAD  PUNE BRANCH,CA,MB,Digital,NEFT,Jun 2017,200000,2
THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,CA,IB,Digital,NEFT,Sep 2017,2400,1
KOTHRUD PUNE BRANCH,CA,NEFT/IMPS/RTGS,Branch,NEFT,Jul 2017,70000,2
KOTHRUD PUNE BRANCH,CA,NEFT/IMPS/RTGS,Branch,NEFT,Oct 2017,59500,4
THANE BRANCH,CA,NEFT/IMPS/RTGS,Branch,NEFT,Sep 2017,5688,1
NAVRANGPURA  AHMEDABAD,CA,NEFT/IMPS/RTGS,Branch,NEFT,Sep 2017,510000,2
Varale,CA,IB,Digital,NEFT,Sep 2017,9900,1
SADASHIV PETH   PUNE,CA,MB,Digital,NEFT,Oct 2017,624050,22
Varale,CA,MB,Digital,NEFT,Oct 2017,261331,19
NAVRANGPURA  AHMEDABAD,CA,MB,Digital,NEFT,Oct 2017,553000,2
KAMRAJ NAGAR  PUDUCHERRY,CA,MB,Digital,NEFT,Oct 2017,49630,12
CHEMBUR BRANCH,CA,NEFT/IMPS/RTGS,Branch,NEFT,Sep 2017,30950,1
MHALUNGE BUS STOP  PUNE,CA,MB,Digital,NEFT,Sep 2017,129500,16
Wadachiwadi,CA,MB,Digital,NEFT,Sep 2017,10000,1
Alandi,CA,MB,Digital,NEFT,Oct 2017,482000,6
Wadachiwadi,CA,NEFT/IMPS/RTGS,Branch,NEFT,Oct 2017,90000,1
SADASHIV PETH   PUNE,CA,IB,Digital,NEFT,Oct 2017,8500,1
CBD BELAPUR,CA,NEFT/IMPS/RTGS,Branch,NEFT,Jul 2017,115987,7
Varale,CA,IB,Digital,NEFT,Oct 2017,112872,10
MHALUNGE BUS STOP  PUNE,CA,IB,Digital,NEFT,Oct 2017,37000,3
NEW PALASIA,CA,MB,Digital,NEFT,Oct 2017,5000,1
KOTHRUD PUNE BRANCH,CA,MB,Digital,NEFT,Oct 2017,1522100,27
CENTRAL BACK OFFICE  BELAPUR,CA,NEFT/IMPS/RTGS,Branch,NEFT,Sep 2017,6462,10
CHINCHWAD  PUNE BRANCH,CA,NEFT/IMPS/RTGS,Branch,NEFT,Aug 2017,1580124,21
CHINCHWAD  PUNE BRANCH,CA,MB,Digital,NEFT,Aug 2017,1770215,32
CBD BELAPUR,CA,NEFT/IMPS/RTGS,Branch,NEFT,Sep 2017,582282,12
SADASHIV PETH   PUNE,CA,IB,Digital,NEFT,Sep 2017,53700,5
PULLIYAKULAM ROAD   COIMBATORE,CA,MB,Digital,NEFT,Sep 2017,19000,1
CHEMBUR BRANCH,CA,NEFT/IMPS/RTGS,Branch,NEFT,Oct 2017,4055,1
THANE BRANCH,CA,NEFT/IMPS/RTGS,Branch,NEFT,Oct 2017,600,1
SADASHIV PETH   PUNE,CA,MB,Digital,NEFT,Aug 2017,267050,31
T. NAGAR  CHENNAI,CA,NEFT/IMPS/RTGS,Branch,NEFT,Oct 2017,72269,3
CHINCHWAD  PUNE BRANCH,CA,IB,Digital,NEFT,Aug 2017,19422,2
Wadachiwadi,CA,MB,Digital,NEFT,Oct 2017,132000,6
T. NAGAR  CHENNAI,CA,NEFT/IMPS/RTGS,Branch,NEFT,Aug 2017,160000,1
Varale,CA,NEFT/IMPS/RTGS,Branch,NEFT,Oct 2017,28487,2
CHEMBUR BRANCH,CA,NEFT/IMPS/RTGS,Branch,NEFT,Jul 2017,13000,1
Varale,CA,NEFT/IMPS/RTGS,Branch,NEFT,Sep 2017,14278,1
NEW PALASIA,CA,IB,Digital,NEFT,Oct 2017,6000,2
Alandi,CA,MB,Digital,NEFT,Sep 2017,1080500,14
MHALUNGE BUS STOP  PUNE,CA,IB,Digital,NEFT,Sep 2017,4000,1
KOTHRUD PUNE BRANCH,CA,NEFT/IMPS/RTGS,Branch,NEFT,Sep 2017,2700000,1
CBD BELAPUR,CA,NEFT/IMPS/RTGS,Branch,NEFT,Aug 2017,144327,9
SADASHIV PETH   PUNE,CA,IB,Digital,NEFT,Aug 2017,35200,6
Alandi,CA,MB,Digital,NEFT,Aug 2017,70000,1
MHALUNGE BUS STOP  PUNE,CA,MB,Digital,NEFT,Aug 2017,27000,4
Varale,CA,IB,Digital,NEFT,Aug 2017,100000,4
CHINCHWAD  PUNE BRANCH,CA,NEFT/IMPS/RTGS,Branch,IMPS,Oct 2017,-10000,1
NAVRANGPURA  AHMEDABAD,CA,IB,Digital,IMPS,Oct 2017,5000,1
CHINCHWAD  PUNE BRANCH,CA,MB,Digital,IMPS,Aug 2017,89000,6
CHINCHWAD  PUNE BRANCH,CA,MB,Digital,IMPS,Oct 2017,60000,3
NAVRANGPURA  AHMEDABAD,CA,MB,Digital,IMPS,Sep 2017,75000,2
PULLIYAKULAM ROAD   COIMBATORE,CA,IB,Digital,IMPS,Oct 2017,111850,7
Wadachiwadi,CA,MB,Digital,IMPS,Oct 2017,51030,4
CHINCHWAD  PUNE BRANCH,CA,MB,Digital,IMPS,Jul 2017,95000,4
PULLIYAKULAM ROAD   COIMBATORE,CA,IB,Digital,IMPS,Sep 2017,1400,2
Alandi,CA,MB,Digital,IMPS,Oct 2017,4000,2
PULLIYAKULAM ROAD   COIMBATORE,CA,MB,Digital,IMPS,Oct 2017,12600,2
CHINCHWAD  PUNE BRANCH,CA,MB,Digital,IMPS,Sep 2017,53000,2
CBD BELAPUR,CA,MB,Digital,IMPS,Oct 2017,3010,2
Alandi,CA,MB,Digital,IMPS,Sep 2017,24500,1
NAVRANGPURA  AHMEDABAD,CA,MB,Digital,IMPS,Aug 2017,4980,3
KAMRAJ NAGAR  PUDUCHERRY,CA,MB,Digital,IMPS,Oct 2017,9740,2
CBD BELAPUR,CA,NEFT/IMPS/RTGS,Branch,RTGS,Sep 2017,8825000,17
CHINCHWAD  PUNE BRANCH,CA,NEFT/IMPS/RTGS,Branch,RTGS,Oct 2017,16488578,24
CHINCHWAD  PUNE BRANCH,CA,MB,Digital,RTGS,Sep 2017,1897923,6
CENTRAL BACK OFFICE  BELAPUR,CA,NEFT/IMPS/RTGS,Branch,RTGS,Oct 2017,4167344,13
CHINCHWAD  PUNE BRANCH,CA,NEFT/IMPS/RTGS,Branch,RTGS,Sep 2017,17375652,31
CHINCHWAD  PUNE BRANCH,CA,MB,Digital,RTGS,Oct 2017,3625750,10
CBD BELAPUR,CA,NEFT/IMPS/RTGS,Branch,RTGS,Oct 2017,850000,2
NAVRANGPURA  AHMEDABAD,CA,MB,Digital,RTGS,Sep 2017,750000,2
CBD BELAPUR,CA,NEFT/IMPS/RTGS,Branch,RTGS,Aug 2017,600000,1
CHINCHWAD  PUNE BRANCH,CA,NEFT/IMPS/RTGS,Branch,RTGS,Aug 2017,5120157,11
CHINCHWAD  PUNE BRANCH,CA,MB,Digital,RTGS,Aug 2017,3741675,11
NAVRANGPURA  AHMEDABAD,CA,NEFT/IMPS/RTGS,Branch,RTGS,Sep 2017,1105000,3
KOTHRUD PUNE BRANCH,CA,NEFT/IMPS/RTGS,Branch,RTGS,Sep 2017,213400,1
NAVRANGPURA  AHMEDABAD,CA,NEFT/IMPS/RTGS,Branch,RTGS,Oct 2017,3900000,4
NAVRANGPURA  AHMEDABAD,CA,NEFT/IMPS/RTGS,Branch,RTGS,Jul 2017,250000,1
CHINCHWAD  PUNE BRANCH,CA,MB,Digital,RTGS,Jun 2017,1043018,3
CHINCHWAD  PUNE BRANCH,CA,NEFT/IMPS/RTGS,Branch,RTGS,Jul 2017,240000,1
KOTHRUD PUNE BRANCH,CA,NEFT/IMPS/RTGS,Branch,RTGS,Aug 2017,400000,1
CHINCHWAD  PUNE BRANCH,CA,NEFT/IMPS/RTGS,Branch,RTGS,Jun 2017,2919114,1
T. NAGAR  CHENNAI,CA,NEFT/IMPS/RTGS,Branch,RTGS,Aug 2017,400000,1
CBD BELAPUR,SA,ATMWithdOffUs,Branch,,Sep 2017,1125000,410
CBD BELAPUR,SA,ATMWithdOffUs,Branch,,Oct 2017,1387800,545
CBD BELAPUR,SA,POS,Digital,,Sep 2017,436184.5,388
CHINCHWAD  PUNE BRANCH,SA,ATMWithdOffUs,Branch,,Sep 2017,465000,109
CBD BELAPUR,SA,POS,Digital,,Oct 2017,715241.8,545
THANE BRANCH,SA,POS,Digital,,Sep 2017,59684,51
Varale,SA,ATMWithdOffUs,Branch,,Oct 2017,518200,141
Alandi,SA,ATMWithdOffUs,Branch,,Oct 2017,382500,88
KOTHRUD PUNE BRANCH,SA,ATMWithdOffUs,Branch,,Aug 2017,174000,58
Alandi,SA,POS,Digital,,Oct 2017,69060.1,54
T. NAGAR  CHENNAI,SA,POS,Digital,,Sep 2017,80008.92,66
Varale,SA,POS,Digital,,Oct 2017,62709.52,71
SADASHIV PETH   PUNE,SA,POS,Digital,,Sep 2017,44887.38,54
SADASHIV PETH   PUNE,SA,ATMWithdOffUs,Branch,,Aug 2017,218100,57
KOTHRUD PUNE BRANCH,SA,ATMWithdOffUs,Branch,,Oct 2017,273000,131
CHINCHWAD  PUNE BRANCH,SA,POS,Digital,,Aug 2017,71186.19,71
CHINCHWAD  PUNE BRANCH,SA,ATMWithdOffUs,Branch,,Aug 2017,160400,54
SADASHIV PETH   PUNE,SA,ATMWithdOffUs,Branch,,Sep 2017,202300,89
CHINCHWAD  PUNE BRANCH,SA,POS,Digital,,Sep 2017,104022.3,85
KOTHRUD PUNE BRANCH,SA,POS,Digital,,Sep 2017,96302.29,90
THANE BRANCH,SA,POS,Digital,,Aug 2017,13727.81,24
NEW PALASIA,SA,POS,Digital,,Sep 2017,37819.2,59
CHINCHWAD  PUNE BRANCH,SA,ATMWithdOffUs,Branch,,Oct 2017,1265700,222
THANE BRANCH,SA,ATMWithdOffUs,Branch,,Sep 2017,303800,80
CHINCHWAD  PUNE BRANCH,SA,ATMWithdOnUs,Branch,,Aug 2017,73200,31
Wadachiwadi,SA,ATMWithdOffUs,Branch,,Sep 2017,193700,63
PULLIYAKULAM ROAD   COIMBATORE,SA,ATMWithdOffUs,Branch,,Sep 2017,124100,51
CBD BELAPUR,SA,ATMWithdOnUs,Branch,,Sep 2017,387900,101
NEW PALASIA,SA,ATMWithdOnUs,Branch,,Oct 2017,88900,30
THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,SA,ATMWithdOnUs,Branch,,Aug 2017,50200,8
CHINCHWAD  PUNE BRANCH,SA,ATMWithdOnUs,Branch,,Oct 2017,259600,43
CHINCHWAD  PUNE BRANCH,SA,POS,Digital,,Oct 2017,278049.9,117
CBD BELAPUR,SA,POS,Digital,,Aug 2017,184146,156
CBD BELAPUR,SA,ATMWithdOnUs,Branch,,Oct 2017,647200,142
Varale,SA,ATMWithdOffUs,Branch,,Sep 2017,277200,76
KOTHRUD PUNE BRANCH,SA,POS,Digital,,Aug 2017,67507.42,69
Wadachiwadi,SA,POS,Digital,,Sep 2017,44818.68,40
CHEMBUR BRANCH,SA,ATMWithdOffUs,Branch,,Sep 2017,61400,23
NEW PALASIA,SA,ATMWithdOffUs,Branch,,Aug 2017,124500,30
KOTHRUD PUNE BRANCH,SA,ATMWithdOnUs,Branch,,Aug 2017,83700,33
CBD BELAPUR,SA,ATMWithdOffUs,Branch,,Aug 2017,543900,154
NAVRANGPURA  AHMEDABAD,SA,ATMWithdOffUs,Branch,,Aug 2017,72500,29
KOTHRUD PUNE BRANCH,SA,POS,Digital,,Oct 2017,78841.77,88
THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,SA,ATMWithdOffUs,Branch,,Aug 2017,34700,12
KOTHRUD PUNE BRANCH,SA,ATMWithdOnUs,Branch,,Oct 2017,236600,60
CHEMBUR BRANCH,SA,ATMWithdOnUs,Branch,,Oct 2017,17100,13
CHEMBUR BRANCH,SA,POS,Digital,,Oct 2017,20329.9,39
T. NAGAR  CHENNAI,SA,ATMWithdOffUs,Branch,,Oct 2017,202100,61
NEW PALASIA,SA,ATMWithdOffUs,Branch,,Sep 2017,131600,59
T. NAGAR  CHENNAI,SA,ATMWithdOffUs,Branch,,Sep 2017,137700,45
Varale,SA,POS,Digital,,Sep 2017,52448.47,55
T. NAGAR  CHENNAI,SA,POS,Digital,,Oct 2017,126116,55
Alandi,SA,ATMWithdOffUs,Branch,,Sep 2017,604800,86
PULLIYAKULAM ROAD   COIMBATORE,SA,ATMWithdOffUs,Branch,,Aug 2017,21200,12
NEW PALASIA,SA,ATMWithdOnUs,Branch,,Aug 2017,8700,7
MHALUNGE BUS STOP  PUNE,SA,ATMWithdOnUs,Branch,,Sep 2017,11500,5
Varale,SA,POS,Digital,,Aug 2017,23351.64,35
CHEMBUR BRANCH,SA,ATMWithdOffUs,Branch,,Aug 2017,114800,25
THANE BRANCH,SA,ATMWithdOffUs,Branch,,Oct 2017,161100,75
KOTHRUD PUNE BRANCH,SA,ATMWithdOnUs,Branch,,Sep 2017,162700,58
KOTHRUD PUNE BRANCH,SA,ATMWithdOffUs,Branch,,Sep 2017,177300,72
KAMRAJ NAGAR  PUDUCHERRY,SA,ATMWithdOffUs,Branch,,Aug 2017,50700,27
KAMRAJ NAGAR  PUDUCHERRY,SA,ATMWithdOffUs,Branch,,Oct 2017,402700,96
KAMRAJ NAGAR  PUDUCHERRY,SA,POS,Digital,,Oct 2017,123434.6,74
KAMRAJ NAGAR  PUDUCHERRY,SA,ATMWithdOnUs,Branch,,Oct 2017,164600,43
KAMRAJ NAGAR  PUDUCHERRY,SA,POS,Digital,,Aug 2017,48094.85,45
Wadachiwadi,SA,ATMWithdOnUs,Branch,,Sep 2017,6000,2
CHEMBUR BRANCH,SA,POS,Digital,,Sep 2017,15184.93,29
PULLIYAKULAM ROAD   COIMBATORE,SA,ATMWithdOffUs,Branch,,Oct 2017,175000,73
Alandi,SA,POS,Digital,,Sep 2017,30467.96,30
Wadachiwadi,SA,ATMWithdOffUs,Branch,,Oct 2017,275500,134
NAVRANGPURA  AHMEDABAD,SA,ATMWithdOnUs,Branch,,Oct 2017,22900,10
MHALUNGE BUS STOP  PUNE,SA,ATMWithdOffUs,Branch,,Oct 2017,126000,49
MHALUNGE BUS STOP  PUNE,SA,POS,Digital,,Oct 2017,13641.54,21
SADASHIV PETH   PUNE,SA,ATMWithdOnUs,Branch,,Sep 2017,27900,19
THANE BRANCH,SA,POS,Digital,,Oct 2017,89864.13,59
SADASHIV PETH   PUNE,SA,ATMWithdOnUs,Branch,,Oct 2017,110300,26
THANE BRANCH,SA,ATMWithdOnUs,Branch,,Oct 2017,67500,23
T. NAGAR  CHENNAI,SA,ATMWithdOnUs,Branch,,Oct 2017,355100,34
Alandi,SA,ATMWithdOffUs,Branch,,Aug 2017,18500,6
MHALUNGE BUS STOP  PUNE,SA,ATMWithdOffUs,Branch,,Sep 2017,62300,29
Varale,SA,ATMWithdOffUs,Branch,,Aug 2017,164700,52
SADASHIV PETH   PUNE,SA,POS,Digital,,Aug 2017,16745.09,28
SADASHIV PETH   PUNE,SA,ATMWithdOnUs,Branch,,Aug 2017,36900,16
Alandi,SA,POS,Digital,,Aug 2017,1618.54,8
PULLIYAKULAM ROAD   COIMBATORE,SA,POS,Digital,,Oct 2017,67580.03,53
PULLIYAKULAM ROAD   COIMBATORE,SA,ATMWithdOnUs,Branch,,Aug 2017,13600,6
T. NAGAR  CHENNAI,SA,ATMWithdOffUs,Branch,,Aug 2017,89300,29
T. NAGAR  CHENNAI,SA,ATMWithdOnUs,Branch,,Aug 2017,7100,9
NAVRANGPURA  AHMEDABAD,SA,POS,Digital,,Sep 2017,4214.8,14
Wadachiwadi,SA,POS,Digital,,Oct 2017,92358.84,67
CBD BELAPUR,SA,ATMWithdOnUs,Branch,,Aug 2017,61800,50
SADASHIV PETH   PUNE,SA,POS,Digital,,Oct 2017,70463.7,78
SADASHIV PETH   PUNE,SA,ATMWithdOffUs,Branch,,Oct 2017,262000,153
KAMRAJ NAGAR  PUDUCHERRY,SA,ATMWithdOffUs,Branch,,Sep 2017,189400,56
NEW PALASIA,SA,ATMWithdOnUs,Branch,,Sep 2017,19500,12
CHINCHWAD  PUNE BRANCH,SA,ATMWithdOnUs,Branch,,Sep 2017,154500,55
KAMRAJ NAGAR  PUDUCHERRY,SA,ATMWithdOnUs,Branch,,Sep 2017,72400,16
KAMRAJ NAGAR  PUDUCHERRY,SA,POS,Digital,,Sep 2017,97230.86,54
THANE BRANCH,SA,ATMWithdOnUs,Branch,,Sep 2017,52900,8
NEW PALASIA,SA,ATMWithdOffUs,Branch,,Oct 2017,125600,84
NAVRANGPURA  AHMEDABAD,SA,ATMWithdOffUs,Branch,,Sep 2017,14700,12
THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,SA,ATMWithdOffUs,Branch,,Sep 2017,101700,52
PULLIYAKULAM ROAD   COIMBATORE,SA,ATMWithdOnUs,Branch,,Oct 2017,203100,43
NEW PALASIA,SA,POS,Digital,,Aug 2017,28550.92,21
THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,SA,ATMWithdOnUs,Branch,,Oct 2017,38700,16
CHEMBUR BRANCH,SA,ATMWithdOffUs,Branch,,Oct 2017,122800,42
Alandi,SA,ATMWithdOnUs,Branch,,Aug 2017,2000,1
PULLIYAKULAM ROAD   COIMBATORE,SA,ATMWithdOnUs,Branch,,Sep 2017,184900,40
THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,SA,ATMWithdOffUs,Branch,,Oct 2017,131700,86
THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,SA,POS,Digital,,Oct 2017,18736.42,27
PULLIYAKULAM ROAD   COIMBATORE,SA,POS,Digital,,Sep 2017,44988.3,26
Alandi,SA,ATMWithdOnUs,Branch,,Oct 2017,500,1
NEW PALASIA,SA,POS,Digital,,Oct 2017,26196.4,66
MHALUNGE BUS STOP  PUNE,SA,POS,Digital,,Sep 2017,9126.25,12
CHEMBUR BRANCH,SA,ATMWithdOnUs,Branch,,Aug 2017,2800,2
CHEMBUR BRANCH,SA,POS,Digital,,Aug 2017,4630.66,13
TAMBARAM  CHENNAI,SA,POS,Digital,,Oct 2017,1505,3
TAMBARAM  CHENNAI,SA,ATMWithdOffUs,Branch,,Oct 2017,1900,2
TAMBARAM  CHENNAI,SA,ATMWithdOnUs,Branch,,Oct 2017,25500,3
THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,SA,ATMWithdOnUs,Branch,,Sep 2017,58200,19
NAVRANGPURA  AHMEDABAD,SA,ATMWithdOffUs,Branch,,Oct 2017,111000,49
MHALUNGE BUS STOP  PUNE,SA,ATMWithdOffUs,Branch,,Aug 2017,72200,28
MHALUNGE BUS STOP  PUNE,SA,ATMWithdOnUs,Branch,,Aug 2017,20000,4
MHALUNGE BUS STOP  PUNE,SA,POS,Digital,,Aug 2017,4254.52,12
T. NAGAR  CHENNAI,SA,POS,Digital,,Aug 2017,39011.81,57
PULLIYAKULAM ROAD   COIMBATORE,SA,POS,Digital,,Aug 2017,3277,6
KAMRAJ NAGAR  PUDUCHERRY,SA,ATMWithdOnUs,Branch,,Aug 2017,34400,19
Alandi,SA,ATMWithdOnUs,Branch,,Sep 2017,10000,1
THANE BRANCH,SA,ATMWithdOffUs,Branch,,Aug 2017,51100,27
Wadachiwadi,SA,ATMWithdOffUs,Branch,,Aug 2017,51000,16
NAVRANGPURA  AHMEDABAD,SA,ATMWithdOnUs,Branch,,Aug 2017,3200,4
T. NAGAR  CHENNAI,SA,ATMWithdOnUs,Branch,,Sep 2017,77400,32
NAVRANGPURA  AHMEDABAD,SA,POS,Digital,,Aug 2017,4511,13
Wadachiwadi,SA,POS,Digital,,Aug 2017,16626.35,21
THANE BRANCH,SA,ATMWithdOnUs,Branch,,Aug 2017,7500,8
NAVRANGPURA  AHMEDABAD,SA,ATMWithdOnUs,Branch,,Sep 2017,15500,8
THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,SA,POS,Digital,,Sep 2017,3421.43,6
CHEMBUR BRANCH,SA,ATMWithdOnUs,Branch,,Sep 2017,1800,6
THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,SA,POS,Digital,,Aug 2017,15303,5
NERUL BRANCH,SA,ATMWithdOffUs,Branch,,Oct 2017,5000,1
CBD BELAPUR,SA,ATMWithdOffUs,Branch,,Jul 2017,369300,97
CBD BELAPUR,SA,ATMWithdOnUs,Branch,,Jul 2017,121100,37
CBD BELAPUR,SA,POS,Digital,,Jul 2017,196465,110
CBD BELAPUR,SA,ATMWithdOffUs,Branch,,Jun 2017,106300,34
CBD BELAPUR,SA,POS,Digital,,Jun 2017,63972.62,74
KAMRAJ NAGAR  PUDUCHERRY,SA,ATMWithdOnUs,Branch,,Jun 2017,6300,9
NAVRANGPURA  AHMEDABAD,SA,ATMWithdOnUs,Branch,,Jun 2017,9300,9
NAVRANGPURA  AHMEDABAD,SA,ATMWithdOffUs,Branch,,Jul 2017,64000,24
NEW PALASIA,SA,ATMWithdOffUs,Branch,,Jun 2017,54200,19
NEW PALASIA,SA,ATMWithdOnUs,Branch,,Jun 2017,7500,6
NEW PALASIA,SA,POS,Digital,,Jun 2017,100,1
CHINCHWAD  PUNE BRANCH,SA,ATMWithdOffUs,Branch,,Jul 2017,309400,73
NAVRANGPURA  AHMEDABAD,SA,ATMWithdOnUs,Branch,,Jul 2017,14300,9
CHINCHWAD  PUNE BRANCH,SA,ATMWithdOnUs,Branch,,Jun 2017,62300,18
CHINCHWAD  PUNE BRANCH,SA,POS,Digital,,Jun 2017,9644.2,15
CHINCHWAD  PUNE BRANCH,SA,ATMWithdOffUs,Branch,,Jun 2017,109700,23
CHEMBUR BRANCH,SA,ATMWithdOffUs,Branch,,Jun 2017,89900,22
KAMRAJ NAGAR  PUDUCHERRY,SA,POS,Digital,,Jul 2017,22109.62,31
KAMRAJ NAGAR  PUDUCHERRY,SA,ATMWithdOffUs,Branch,,Jul 2017,45500,17
KOTHRUD PUNE BRANCH,SA,ATMWithdOnUs,Branch,,Jul 2017,27200,22
KAMRAJ NAGAR  PUDUCHERRY,SA,ATMWithdOnUs,Branch,,Jul 2017,23400,16
THANE BRANCH,SA,ATMWithdOffUs,Branch,,Jul 2017,18100,11
CHEMBUR BRANCH,SA,POS,Digital,,Jul 2017,6358.4,11
CBD BELAPUR,SA,ATMWithdOnUs,Branch,,Jun 2017,139200,26
THANE BRANCH,SA,ATMWithdOffUs,Branch,,Jun 2017,40600,27
T. NAGAR  CHENNAI,SA,POS,Digital,,Jul 2017,42818.84,46
CHINCHWAD  PUNE BRANCH,SA,POS,Digital,,Jul 2017,23978.96,44
PULLIYAKULAM ROAD   COIMBATORE,SA,POS,Digital,,Jul 2017,10166,11
NAVRANGPURA  AHMEDABAD,SA,POS,Digital,,Oct 2017,12258.15,26
PULLIYAKULAM ROAD   COIMBATORE,SA,ATMWithdOffUs,Branch,,Jul 2017,58000,25
KOTHRUD PUNE BRANCH,SA,ATMWithdOffUs,Branch,,Jul 2017,90800,33
KOTHRUD PUNE BRANCH,SA,POS,Digital,,Jul 2017,23750.6,19
T. NAGAR  CHENNAI,SA,ATMWithdOffUs,Branch,,Jul 2017,7000,9
T. NAGAR  CHENNAI,SA,ATMWithdOnUs,Branch,,Jul 2017,4900,8
NERUL BRANCH,SA,POS,Digital,,Oct 2017,9686.98,5
NERUL BRANCH,SA,ATMWithdOnUs,Branch,,Oct 2017,9500,3
THANE BRANCH,SA,ATMWithdOnUs,Branch,,Jun 2017,8300,3
KAMRAJ NAGAR  PUDUCHERRY,SA,ATMWithdOffUs,Branch,,Jun 2017,25700,7
MHALUNGE BUS STOP  PUNE,SA,ATMWithdOffUs,Branch,,Jun 2017,23300,14
MHALUNGE BUS STOP  PUNE,SA,ATMWithdOnUs,Branch,,Oct 2017,1000,1
KOTHRUD PUNE BRANCH,SA,POS,Digital,,Jun 2017,3311,7
SADASHIV PETH   PUNE,SA,ATMWithdOffUs,Branch,,Jun 2017,102000,24
CHEMBUR BRANCH,SA,POS,Digital,,Jun 2017,1174,2
PULLIYAKULAM ROAD   COIMBATORE,SA,ATMWithdOnUs,Branch,,Jul 2017,143100,23
KOTHRUD PUNE BRANCH,SA,ATMWithdOnUs,Branch,,Jun 2017,21400,10
KAMRAJ NAGAR  PUDUCHERRY,SA,POS,Digital,,Jun 2017,11283.86,11
PULLIYAKULAM ROAD   COIMBATORE,SA,ATMWithdOnUs,Branch,,Jun 2017,2000,1
SADASHIV PETH   PUNE,SA,ATMWithdOnUs,Branch,,Jun 2017,38100,9
SADASHIV PETH   PUNE,SA,POS,Digital,,Jun 2017,3669,6
CHEMBUR BRANCH,SA,ATMWithdOnUs,Branch,,Jun 2017,42800,9
CHEMBUR BRANCH,SA,ATMWithdOffUs,Branch,,Jul 2017,245500,49
NEW PALASIA,SA,ATMWithdOffUs,Branch,,Jul 2017,53400,31
NEW PALASIA,SA,POS,Digital,,Jul 2017,5349.39,10
SADASHIV PETH   PUNE,SA,ATMWithdOnUs,Branch,,Jul 2017,14400,7
THANE BRANCH,SA,POS,Digital,,Jul 2017,1843.9,7
CHEMBUR BRANCH,SA,ATMWithdOnUs,Branch,,Jul 2017,20500,3
CHINCHWAD  PUNE BRANCH,SA,ATMWithdOnUs,Branch,,Jul 2017,42700,16
THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,SA,POS,Digital,,Jul 2017,580,4
