CustCount,YrMon_AsOnDate,BRNCH_NME,ProdGroup
9,Oct 2017,NEW PALASIA,CA
8,Aug 2017,CHEMBUR BRANCH,CA
14,Oct 2017,CHEMBUR BRANCH,CA
4,Aug 2017,THANE BRANCH,CA
10,Oct 2017,THANE BRANCH,CA
2,Jul 2017,THANE BRANCH,CA
3,Jul 2017,CHEMBUR BRANCH,CA
3,May 2017,CHEMBUR BRANCH,CA
3,Jun 2017,CHEMBUR BRANCH,CA
2,Apr 2017,CHEMBUR BRANCH,CA
35,Oct 2017,Varale,CA
16,Aug 2017,Varale,CA
6,Aug 2017,Wadachiwadi,CA
15,Oct 2017,Wadachiwadi,CA
7,Apr 2017,CHINCHWAD  PUNE BRANCH,CA
12,Oct 2017,T. NAGAR  CHENNAI,CA
4,Aug 2017,T. NAGAR  CHENNAI,CA
7,Jul 2017,CBD BELAPUR,CA
7,Jun 2017,CBD BELAPUR,CA
4,May 2017,CBD BELAPUR,CA
4,Jul 2017,MHALUNGE BUS STOP  PUNE,CA
2,Jun 2017,MHALUNGE BUS STOP  PUNE,CA
6,Oct 2017,MHALUNGE BUS STOP  PUNE,CA
1,May 2017,MHALUNGE BUS STOP  PUNE,CA
1,Apr 2017,MHALUNGE BUS STOP  PUNE,CA
6,Aug 2017,MHALUNGE BUS STOP  PUNE,CA
7,Oct 2017,SADASHIV PETH   PUNE,CA
1,May 2017,SADASHIV PETH   PUNE,CA
5,Aug 2017,SADASHIV PETH   PUNE,CA
2,Jul 2017,SADASHIV PETH   PUNE,CA
1,Jun 2017,SADASHIV PETH   PUNE,CA
7,Oct 2017,KAMRAJ NAGAR  PUDUCHERRY,CA
6,Oct 2017,Alandi,CA
1,Aug 2017,Alandi,CA
3,Jul 2017,Wadachiwadi,CA
1,Aug 2017,KAMRAJ NAGAR  PUDUCHERRY,CA
3,Oct 2017,THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,CA
3,Aug 2017,THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,CA
1,Jun 2017,NAVRANGPURA  AHMEDABAD,CA
1,Jul 2017,NAVRANGPURA  AHMEDABAD,CA
1,Oct 2017,NERUL BRANCH,CA
1,Apr 2017,CBD BELAPUR,CA
149,Apr 2017,CBD BELAPUR,FD
239,Oct 2017,CBD BELAPUR,FD
65,Feb 2017,CBD BELAPUR,FD
172,May 2017,CBD BELAPUR,FD
213,Jul 2017,CBD BELAPUR,FD
193,Jun 2017,CBD BELAPUR,FD
127,Mar 2017,CBD BELAPUR,FD
232,Aug 2017,CBD BELAPUR,FD
43,Apr 2017,T. NAGAR  CHENNAI,FD
88,May 2017,T. NAGAR  CHENNAI,FD
117,Jun 2017,T. NAGAR  CHENNAI,FD
273,Oct 2017,T. NAGAR  CHENNAI,FD
193,Aug 2017,T. NAGAR  CHENNAI,FD
162,Jul 2017,T. NAGAR  CHENNAI,FD
61,Oct 2017,THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,FD
25,May 2017,SADASHIV PETH   PUNE,FD
44,Aug 2017,SADASHIV PETH   PUNE,FD
33,Jun 2017,SADASHIV PETH   PUNE,FD
40,Jul 2017,SADASHIV PETH   PUNE,FD
46,Oct 2017,SADASHIV PETH   PUNE,FD
37,Jun 2017,THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,FD
94,Jun 2017,THANE BRANCH,FD
130,Jul 2017,THANE BRANCH,FD
175,Oct 2017,THANE BRANCH,FD
156,Aug 2017,THANE BRANCH,FD
41,Jul 2017,THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,FD
46,Aug 2017,THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,FD
20,May 2017,THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,FD
13,Apr 2017,SADASHIV PETH   PUNE,FD
18,May 2017,KAMRAJ NAGAR  PUDUCHERRY,FD
35,Mar 2017,THANE BRANCH,FD
55,Apr 2017,THANE BRANCH,FD
80,May 2017,THANE BRANCH,FD
36,Jul 2017,NEW PALASIA,FD
46,Oct 2017,NEW PALASIA,FD
36,Aug 2017,NEW PALASIA,FD
21,Jun 2017,NEW PALASIA,FD
39,Oct 2017,KAMRAJ NAGAR  PUDUCHERRY,FD
31,Aug 2017,KAMRAJ NAGAR  PUDUCHERRY,FD
11,Apr 2017,KAMRAJ NAGAR  PUDUCHERRY,FD
28,Jul 2017,KAMRAJ NAGAR  PUDUCHERRY,FD
18,Jun 2017,KAMRAJ NAGAR  PUDUCHERRY,FD
13,May 2017,NEW PALASIA,FD
10,Feb 2017,THANE BRANCH,FD
8,Apr 2017,THILLAI NAGAR  MN.RD.   TIRUCHIIRAPPALLI,FD
80,Mar 2017,KOTHRUD PUNE BRANCH,FD
32,Feb 2017,KOTHRUD PUNE BRANCH,FD
9,Oct 2017,Wadachiwadi,FD
37,Aug 2017,MHALUNGE BUS STOP  PUNE,FD
22,Jun 2017,MHALUNGE BUS STOP  PUNE,FD
30,Jul 2017,MHALUNGE BUS STOP  PUNE,FD
37,Oct 2017,MHALUNGE BUS STOP  PUNE,FD
88,Apr 2017,KOTHRUD PUNE BRANCH,FD
7,May 2017,MHALUNGE BUS STOP  PUNE,FD
11,Apr 2017,CHINCHWAD  PUNE BRANCH,FD
30,May 2017,CHINCHWAD  PUNE BRANCH,FD
40,Jun 2017,CHINCHWAD  PUNE BRANCH,FD
19,Aug 2017,Alandi,FD
19,Oct 2017,Alandi,FD
48,Jul 2017,CHINCHWAD  PUNE BRANCH,FD
43,Oct 2017,CHINCHWAD  PUNE BRANCH,FD
33,Aug 2017,CHINCHWAD  PUNE BRANCH,FD
3,Jan 2017,CBD BELAPUR,FD
4,Aug 2017,Varale,FD
6,Oct 2017,Varale,FD
165,Aug 2017,CHEMBUR BRANCH,FD
192,Oct 2017,CHEMBUR BRANCH,FD
96,Jun 2017,KOTHRUD PUNE BRANCH,FD
86,May 2017,KOTHRUD PUNE BRANCH,FD
123,Oct 2017,KOTHRUD PUNE BRANCH,FD
111,Aug 2017,KOTHRUD PUNE BRANCH,FD
109,Jul 2017,KOTHRUD PUNE BRANCH,FD
76,Oct 2017,PULLIYAKULAM ROAD   COIMBATORE,FD
31,Jun 2017,PULLIYAKULAM ROAD   COIMBATORE,FD
57,Aug 2017,PULLIYAKULAM ROAD   COIMBATORE,FD
51,Jul 2017,PULLIYAKULAM ROAD   COIMBATORE,FD
20,May 2017,PULLIYAKULAM ROAD   COIMBATORE,FD
13,Oct 2017,NERUL BRANCH,FD
220,Oct 2017,NAVRANGPURA  AHMEDABAD,FD
